Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM3290121,0.0799298451604564,0,0.0506372755307151,0.0448434000553586,0,0.137521174044885,0,0,0,0.00823214302832638,0.0439181971065325,0,0.00798679153273647,0.0774647048905876,0.0217079012708804,0.135758958729439,0,0.131553917332811,0.109320294859017,0,0,0.151125396458255,0,0.39739108595408,0.916775997402602
GSM3290122,0.143098877023041,0,0.0457402617279768,0.0540939289389628,0,0.217312615673283,0,0,0,0,0.0455450486093053,0,0.0591687359158594,0.0500758680817773,0,0.149747089883209,0,0.0298564059440552,0.120036886786496,0,0,0.0853242814160351,0,0.275354072909434,0.967754935800222
GSM3290123,0.0550271368030147,0,0.0225924062770183,0.0211482228989588,0,0.115614693183572,0,0,0,0,0.0497804328120846,0,0.114867000280428,0.099158734282319,0,0.165345434946099,0,0.043351292791455,0.017075471315949,0.0288345150024459,0.0135087470582117,0.253695912348444,0,0.430302010599266,0.903990573967969
GSM3290124,0.0733958969627989,0,0.0439421593366569,0.0202532138256027,0,0.0974140549544719,0,0,0,0,0.0348880434312067,0,0.0564363457529698,0.174989429405283,0.0228238934415617,0.196393060165833,0,0,0.116919661906203,0,0,0.162544240817413,0,0.369884903257805,0.931133940238032
GSM3290125,0.143660594045535,0,0.0277776276076489,0.032788800900844,0,0.0934232660670844,0,0,0,0,0.0246648214285418,0,0.0359451914685071,0.174156895895625,0,0.22317885669831,0,0.045507291969226,0.130506720898268,0,0,0.0683899330204089,0,0.301634118131184,0.959480796355348
GSM3290126,0.115226293847327,0,0.0393067259351948,0.032855587967431,0,0.151304832848947,0,0,0,0,0.021022634882159,0,0,0.0537761080179055,0.0511555109106921,0.160535478339727,0,0.0296790155456993,0.276729428314728,0,0,0.0684083833901895,0,0.275235482904052,0.969571250978732
GSM3290127,0.0689235454122488,0,0.0538955265452113,0.0250019550434496,0,0.107623496220764,0,0,0,0,0.0395537376075199,0,0.0400347424186699,0.0406932906224589,0,0.0956544267883208,0,0.20328160206885,0.239806797941716,0,0,0.0855308793307912,0,0.39273274770662,0.918913839982398
GSM3290128,0.104315108005444,0,0.0212241632584268,0.0376333438388911,0,0.159275074086113,0.00266808729776654,0.00144447222473762,0,0.0115459939738055,0,0.0108015090776293,0,0.0126303211980294,0.0138977091202312,0.171709303183168,0,0.0951143834215137,0.333028256040446,0,0.0238568929961983,0.000855382277599934,0,0.503596682042764,0.867025576829759
GSM3290129,0.0727971969739751,0,0.0467696700837927,0.0429545058987539,0,0.124343728384244,0,0,0,0.0105213842394263,0.0269958925058333,0,0.0248226532460621,0.0842956308893921,0.00729126628665849,0.189502924208688,0,0.0990228301673492,0.230250363890463,0,0,0.0404319532253616,0,0.329703990073605,0.945224099705146
GSM3290130,0.0676663574419439,0,0.0258191920448558,0.0368491885540776,0.00268258380092359,0.100361027786896,0.00625519372631211,0,0,0,0.0295663772129449,0,0.0161449150442327,0.0165412661681066,0,0.181637105260378,0,0.157700417200407,0.237644863108111,0,0,0.121131512650811,0,0.41732161789353,0.907994138302272
GSM3290131,0.0273599722916177,0,0.0204117931525065,0.0371365854850165,0.0331141742406506,0.208354878569186,0,0,0,0,0.0459515090846321,0.00421094062023499,0.0278307244338279,0.122656941302115,0,0.145537574851722,0,0.044137550095788,0.164947145612021,0,0,0.118350210260681,0,0.303257377866269,0.957413885494826
GSM3290132,0.0721280303767813,0,0.0309106030188554,0.023418756339484,0,0.114309193559181,0,0,0,0.000984695505366515,0.0545411169316649,0,0.101741799504964,0.0696842003985937,0.00275426915167575,0.112382356901453,0,0.139158993047184,0.0970116162016305,0,0,0.180974369063166,0,0.485163245165673,0.87579117812929
GSM3290133,0.0772855389582815,0,0.0490092669348298,0.0561978134366778,0,0.109939085616265,0.00105104474081947,0,0,0,0.0327659372881133,0,0.0123721709269411,0.200742891252081,0.00217957065087027,0.146204039151434,0,0.0670678537262554,0.163223237379804,0,0,0.0819615499376282,0,0.290483860641794,0.963190380448972
GSM3290134,0.0726142419650165,0,0.0159784137843479,0.0267463979175782,0,0.0839963742849843,0,0,0,0,0.0264617068231932,0,0.148053148599647,0.0880873057835962,0,0.208275679158067,0,0.0425810067903208,0.188948006723077,0,0,0.0982577181701723,0,0.396129557628539,0.917742546615598
GSM3290135,0.0980768255557561,0,0.0300488515578436,0,0,0.138517838320004,0,0,0,0.00911531513724932,0.0284491752726061,0,0,0.050753542399166,0.00175372394605638,0.222521609806352,0,0.0474083294167421,0.212721598591382,0,0.000822282243152419,0.15981090775369,0,0.349311828218168,0.938423098898307
GSM3290136,0.0966629677260583,0,0.0412070978405906,0.0866439979096495,0,0.174536414483123,0,0,0,0,0.0398382720561908,0,0.0306395812681537,0.0438319714637412,0.00817462392608984,0.209941912629289,0,0.037156169903,0.165849201580649,0,0.00949455183714691,0.0560232373763191,0,0.276147812568037,0.965986791328601
GSM3290137,0.134649019494421,0,0.0311423935433306,0.0425367436128788,0,0.153530534583316,0,0,0,0.000559235698622232,0.0179077143903973,0,0.00721957897899649,0.0528373905189411,0.00336723510122784,0.240508973642836,0,0.0102637666120385,0.235799615540964,0,0,0.0696777982820292,0,0.296089227265006,0.960716465430997
GSM3290138,0.0365297977706981,0,0.0233427626748285,0.0320756513994638,0,0.296275862170261,0,0,0,0,0.00193261962472998,0.0510250450634225,0.0422526874959904,0,0.0875156036627753,0.198861363030212,0,0.027804004339379,0.0814732183541916,0,0,0.120911384414047,0,0.331101977930956,0.946474907012835
GSM3290139,0.124895192486028,0,0.0518665026473177,0.0477759303732838,0,0.239103126681337,0.00144130347033869,0,0,0,0,0,0,0.0874582767180818,0.0177803966529463,0.110071669203366,0,0.0714922315029458,0.217083306556447,0,0,0.0310320637079075,0,0.258895912040308,0.975462955311959
GSM3290140,0.0672114050820744,0,0.0497671919467515,0.032818433003101,0,0.145776212803684,0.0127840083354043,0,0,0,0.0136834885181066,0,0.00705739525436099,0.0777555651211188,0.0215469502385959,0.194163153551696,0,0.0278960765419072,0.329018102365957,0,0,0.0205220172372432,0,0.469364013813581,0.883965618399123
GSM3290141,0.134692412344871,0,0.0835663959623425,0.0327529433387475,0,0.163858470462115,0.00583394494647503,0,0,0.000770248993292785,0,0.0147037683918912,0.00892352918859867,0.0368948948557878,0.0223303806831357,0.143380947784504,0,0.0562143073182995,0.262110522153392,0,0.0133116267905244,0.0206556067860236,0,0.412609518673383,0.910247119355733
GSM3290142,0.0867428227472321,0,0.0557020508709449,0.0692073978429466,0,0.15768660778323,0,0,0,0.0134607469351826,0.0443435582375868,0,0.0463234836294936,0.0681129423175242,0,0.161545853745979,0,0.106910950740119,0.0985323882496311,0,0.000210791711734633,0.0912204051883956,0,0.397584533720663,0.916799133994472
GSM3290143,0.0820849096283834,0,0.0210586446185904,0.0273539119816392,0,0.150729022918308,0,0,0,0,0.0149001253621783,0,0.0113191682217788,0.0733330658222772,0.0332950175754888,0.274708079453071,0,0.0891232005969574,0.190397168757351,0,0,0.0316976850639759,0,0.297163828088222,0.95903451209869
GSM3290144,0.130590208059837,0,0.0531839857696002,0.0407507170735737,0,0.114691601170322,0.00110707623288533,0,0,0,0,0,0,0.176808703403256,0.0128966749318077,0.187183483516136,0,0.0130726453969858,0.26254884315872,0,0,0.00716606128687631,0,0.337921358749855,0.945413177209335
GSM3290145,0.0656041433264375,0,0.0224257791135301,0.0203609411834452,0,0.125209421598157,0.0041022730988643,0.00547719633889811,0,0.00125142043401282,0.0257638659817787,0,0.0498363503210022,0.0743639414725891,0.0131378372069722,0.232622202208825,0,0.0721822761475261,0.100447078082496,0,0,0.187215273485466,0,0.457370554245364,0.888855934616597
GSM3290146,0.185972874775123,0,0.0507972944031908,0.0386135343109121,0,0.0850879302773756,0,0.00570263369335327,0,0,0.0147353634946184,0,0.00521864393294114,0.153348390484019,0.00139085967049527,0.205396814120425,0,0.0019844641775221,0.179571400631814,0,0,0.0721797960282111,0,0.364028972107083,0.933004448268527
